1157358	979932	845424	731486	633318	548491	475479	412052	356708	307682	264422	226510	193024	163476	137046	114127	93555	75173	58949	44422	31403	19678
1287209	1109780	975270	861332	763163	678332	605320	541892	486547	437521	394261	356350	322863	293315	266885	243966	223394	205012	188788	142556	101073	63797
2039131	1861702	1727192	1613252	1515083	1430251	1357239	1293811	1238466	1115727	1002393	899645	807071	723113	647243	578973	516810	461001	410455	313288	224853	143834
2965481	2788052	2653542	2539602	2441432	2330607	2171375	2024683	1890536	1767796	1654462	1551714	1421802	1276333	1139181	1010939	890749	779154	674823	523749	381602	247635
3794685	3617256	3482746	3368806	3184492	3013635	2854402	2707710	2573563	2391795	2217592	2052282	1897530	1752061	1567250	1389250	1217287	1052606	894547	704502	521019	343532
4382441	4205012	4070502	3874868	3690554	3519697	3360464	3161473	2970901	2789133	2614930	2412350	2216584	2026708	1841897	1635792	1433002	1234146	1039736	829571	623111	419930
4724410	4546981	4366797	4171163	3986849	3802862	3596471	3397480	3206908	2995080	2786833	2584253	2376255	2164031	1954665	1744682	1528140	1313776	1101698	881645	664318	448480
4938701	4754575	4546346	4350712	4158808	3946326	3739935	3531934	3315749	3103921	2888487	2669183	2453506	2234380	2014178	1795964	1573934	1351937	1131351	906347	683121	460336
5079822	4870044	4661815	4466181	4247727	4035245	3820047	3599862	3383677	3161124	2939303	2716398	2492664	2270730	2045734	1821677	1596850	1371372	1146691	919181	693016	465991
5161295	4939924	4731695	4521763	4303309	4086599	3863722	3642780	3418093	3195540	2969405	2743346	2517678	2291872	2065898	1839252	1612542	1384866	1157894	928276	699950	470557
5230994	4991181	4782952	4560461	4342007	4116886	3894009	3667175	3442488	3215883	2988826	2760360	2533555	2305889	2078591	1850200	1621992	1392792	1163999	933148	703384	472770
