2723903	2556916	2381927	2216606	2058419	1906759	1760363	1620290	1485321	1354338	1229146	1108847	993923	884270	778096	675896	577940	483310	392227	305418	223057	145657
3117589	2950603	2775611	2610289	2452099	2300439	2154039	2013965	1878994	1748011	1622815	1502514	1387589	1277935	1171759	1069554	971597	876967	785881	621839	461406	305623
4021222	3854235	3679242	3513920	3355730	3204071	3057671	2917597	2782626	2589475	2400230	2212914	2028970	1848660	1670271	1494469	1321754	1150651	982891	784914	587802	392912
4454460	4287473	4112480	3947158	3788968	3622024	3422433	3226136	3031664	2838513	2649267	2461951	2264451	2060532	1856786	1653489	1451511	1249655	1049411	841227	632407	424443
4649941	4482954	4307961	4142639	3939238	3737629	3538037	3341739	3147267	2938675	2732314	2525539	2319605	2115686	1906091	1696181	1486575	1276293	1066874	856313	644670	433385
4739006	4572019	4397026	4191801	3988400	3786791	3587199	3379229	3171166	2962574	2756213	2545699	2335128	2126024	1916429	1705236	1494138	1282045	1070702	859720	647514	435555
4781988	4615001	4419283	4214058	4010657	3806431	3596656	3388686	3180623	2969554	2760087	2549573	2338538	2128516	1917838	1706584	1495244	1282871	1071176	860115	647822	435751
4808177	4638383	4430616	4225391	4020570	3810647	3600872	3392275	3182266	2971197	2761514	2550402	2339061	2128950	1918130	1706749	1495388	1282983	1071239	860168	647855	435764
4825816	4645690	4437923	4232698	4022667	3812744	3602371	3392944	3182935	2971577	2761713	2550562	2339135	2128999	1918168	1706774	1495408	1282998	1071246	860175	647861	435765
4834176	4649567	4441800	4233846	4023815	3813591	3602672	3393230	3183019	2971661	2761758	2550580	2339148	2129001	1918170	1706774	1495408	1282998	1071246	860175	647861	435765
4841303	4652552	4444785	4234624	4024593	3813782	3602863	3393263	3183052	2971673	2761765	2550585	2339151	2129003	1918170	1706774	1495408	1282998	1071246	860175	647861	435765
